"NDB_No","Shrt_Desc","Water_(g)","Energ_Kcal","Protein_(g)","Lipid_Tot_(g)","Ash_(g)","Carbohydrt_(g)","Fiber_TD_(g)","Sugar_Tot_(g)","Calcium_(mg)","Iron_(mg)","Magnesium_(mg)","Phosphorus_(mg)","Potassium_(mg)","Sodium_(mg)","Zinc_(mg)","Copper_(mg)","Manganese_(mg)","Selenium_(µg)","Vit_C_(mg)","Thiamin_(mg)","Riboflavin_(mg)","Niacin_(mg)","Panto_Acid_mg)","Vit_B6_(mg)","Folate_Tot_(µg)","Folic_Acid_(µg)","Food_Folate_(µg)","Folate_DFE_(µg)","Choline_Tot_ (mg)","Vit_B12_(µg)","Vit_A_IU","Vit_A_RAE","Retinol_(µg)","Alpha_Carot_(µg)","Beta_Carot_(µg)","Beta_Crypt_(µg)","Lycopene_(µg)","Lut+Zea_ (µg)","Vit_E_(mg)","Vit_D_(µg)","Vit_D_(IU)","Vit_K_(µg)","FA_Sat_(g)","FA_Mono_(g)","FA_Poly_(g)","Cholestrl_(mg)","GmWt_1","GmWt_Desc1","GmWt_2","GmWt_Desc2","Refuse_Pct","CnCaption","CnType"
"01005","CHEESE,BRICK","41.11","371.0","23.24","29.68","3.18","2.79","0.0","0.51","674.0","0.43","24.0","451.0","136.0","560.0","2.6","0.024","0.012","14.5","0.0","0.014","0.351","0.118","0.288","0.065","20.0","0.0","20.0","20.0","15.4","1.26","1080.0","292.0","286.0","0.0","76.0","0.0","0.0","0.0","0.26","0.5","22.0","2.5","18.764","8.598","0.784","94.0","132.0","1 cup, diced","113.0","1 cup, shredded","0.0","奶酪","奶制品"
"01123","EGG,WHL,RAW,FRSH","76.15","143.0","12.56","9.51","1.06","0.72","0.0","0.37","56.0","1.75","12.0","198.0","138.0","142.0","1.29","0.072","0.028","30.7","0.0","0.04","0.457","0.075","1.533","0.17","47.0","0.0","47.0","47.0","293.8","0.89","540.0","160.0","160.0","0.0","0.0","9.0","0.0","503.0","1.05","2.0","82.0","0.3","3.126","3.658","1.911","372.0","243.0","1 cup,  (4.86 large eggs)","56.0","1 extra large","12.0","鸡蛋","蛋类"
"01138","EGG,DUCK,WHOLE,FRESH,RAW","70.83","185.0","12.81","13.77","1.14","1.45","0.0","0.93","64.0","3.85","17.0","220.0","222.0","146.0","1.41","0.062","0.038","36.4","0.0","0.156","0.404","0.2","1.862","0.25","80.0","0.0","80.0","80.0","263.4","5.4","674.0","194.0","192.0","0.0","14.0","12.0","0.0","459.0","1.34","1.7","69.0","0.4","3.681","6.525","1.223","884.0","70.0","1 egg","0.0","0.0","12.0","鸭蛋","蛋类"
"01140","EGG,QUAIL,WHOLE,FRESH,RAW","74.35","158.0","13.05","11.09","1.1","0.41","0.0","0.4","64.0","3.65","13.0","226.0","132.0","141.0","1.47","0.062","0.038","32.0","0.0","0.13","0.79","0.15","1.761","0.15","66.0","0.0","66.0","66.0","263.4","1.58","543.0","156.0","155.0","0.0","11.0","10.0","0.0","369.0","1.08","1.4","55.0","0.3","3.557","4.324","1.324","844.0","9.0","1 egg","0.0","0.0","8.0","鹌鹑蛋","蛋类"
"01145","BUTTER,WITHOUT SALT","17.94","717.0","0.85","81.11","0.04","0.06","0.0","0.06","24.0","0.02","2.0","24.0","24.0","11.0","0.09","0.016","0.004","1.0","0.0","0.005","0.034","0.042","0.11","0.003","3.0","0.0","3.0","3.0","18.8","0.17","2499.0","684.0","671.0","0.0","158.0","0.0","0.0","0.0","2.32","1.5","60.0","7.0","51.368","21.021","3.043","215.0","227.0","1 cup","14.2","1 tbsp","0.0","黄油","奶制品"
"01152","MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A","87.71","56.0","3.95","1.98","0.87","5.49","0.0","0.0","143.0","0.06","15.0","112.0","182.0","59.0","0.41","0.011","0.002","2.6","1.1","0.045","0.194","0.101","0.339","0.046","5.0","0.0","5.0","5.0","0.0","0.39","75.0","17.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.232","0.065","0.009","8.0","245.0","1 cup","980.0","1 quart","0.0","牛奶","奶制品"
"01256","YOGURT,GREEK,PLN,NONFAT","85.1","59.0","10.19","0.39","0.72","3.6","0.0","3.24","110.0","0.07","11.0","135.0","141.0","36.0","0.52","0.017","0.009","9.7","0.0","0.023","0.278","0.208","0.331","0.063","7.0","0.0","7.0","7.0","9.1","0.75","4.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","0.2","0.117","0.053","0.012","5.0","170.0","1 container","0.0","0.0","0.0","酸奶","奶制品"
"05139","DUCK,DOMESTICATED,MEAT&SKN,RAW","48.5","404.0","11.49","39.34","0.68","0.0","0.0","0.0","11.0","2.4","15.0","139.0","209.0","63.0","1.36","0.236","0.017","12.4","2.8","0.197","0.21","3.934","0.951","0.19","13.0","0.0","13.0","13.0","31.0","0.25","168.0","50.0","50.0","0.0","0.0","0.0","0.0","0.0","0.7","0.7","26.0","5.5","13.22","18.69","5.08","76.0","287.0","1 unit,  (yield from 1 lb ready-to-cook duck)","634.0",".5 duck","28.0","鸭肉","肉类"
"05332","CHICKEN,GROUND,RAW","73.24","143.0","17.44","8.1","1.17","0.04","0.0","0.0","6.0","0.82","21.0","178.0","522.0","60.0","1.47","0.065","0.016","10.2","0.0","0.109","0.241","5.575","1.092","0.512","1.0","0.0","1.0","1.0","58.8","0.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.27","0.0","0.0","0.8","2.301","3.611","1.508","86.0","112.0","4 oz, crumbled","0.0","0.0","0.0","鸡肉","肉类"
"09003","APPLES,RAW,WITH SKIN","85.56","52.0","0.26","0.17","0.19","13.81","2.4","10.39","6.0","0.12","5.0","11.0","107.0","1.0","0.04","0.027","0.035","0.0","4.6","0.017","0.026","0.091","0.061","0.041","3.0","0.0","3.0","3.0","3.4","0.0","54.0","3.0","0.0","0.0","27.0","11.0","0.0","29.0","0.18","0.0","0.0","2.2","0.028","0.007","0.051","0.0","125.0","1 cup, quartered or chopped","109.0","1 cup, slices","10.0","苹果","水果"
